Title,Link,Description
Cloud Engineer,https://kenyajob.com//job-vacancies-kenya/cloud-engineer-114919,"We are looking for Cloud Engineer profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission... "
Cloud Computing and Virtualization Engineer,https://kenyajob.com//job-vacancies-kenya/cloud-computing-virtualization-engineer-114918,We are looking for Cloud Computing and Virtualization Engineer profiles / CVs to share with our clients for their future recruitment... 
AWS Cloud Architect,https://kenyajob.com//job-vacancies-kenya/aws-cloud-architect-114914,We are looking for AWS Cloud Architect profiles / CVs to share with our clients for their future recruitment campaigns. ... 
GENESYS Architect,https://kenyajob.com//job-vacancies-kenya/genesys-architect-114925,"We are looking for GENESYS Architect profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission:

Deep... "
Cloud Microservices Architect,https://kenyajob.com//job-vacancies-kenya/cloud-microservices-architect-114920,We are looking for Cloud Microservices Architect profiles / CVs to share with our clients for their future recruitment campaigns.... 
Cloud System Administrator,https://kenyajob.com//job-vacancies-kenya/cloud-system-administrator-114921,"We are looking for Cloud System Administrator profiles / CVs to share with our clients for their future recruitment campaigns.
 ... "
AWS Solutions Architect,https://kenyajob.com//job-vacancies-kenya/aws-solutions-architect-114915,"We are looking for AWS Solutions Architect profiles / CVs to share with our clients for their future recruitment campaigns.
 ... "
AZURE Solutions Architect,https://kenyajob.com//job-vacancies-kenya/azure-solutions-architect-114916,"We are looking for AZURE Solutions Architect profiles / CVs to share with our clients for their future recruitment campaigns.
 ... "
Cloud Architect,https://kenyajob.com//job-vacancies-kenya/cloud-architect-114917,"We are looking for Cloud Architect profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission:... "
Cloud System Integrator,https://kenyajob.com//job-vacancies-kenya/cloud-system-integrator-114922,"We are looking for Cloud System Integrator profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission... "
Network Architect,https://kenyajob.com//job-vacancies-kenya/network-architect-114926,"We are looking for Network Architect profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission:... "
Cyber Security Engineer,https://kenyajob.com//job-vacancies-kenya/cyber-security-engineer-114923,"We are looking for Cyber Security Engineer profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission... "
DATASTAGE Architect,https://kenyajob.com//job-vacancies-kenya/datastage-architect-114924,"We are looking for DATASTAGE Architect profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission:... "
Technology for Development (T4D) Intern,https://kenyajob.com//job-vacancies-kenya/technology-development-t4d-intern-115360,The T4D Intern is part of Save the Children’s East and Southern Africa Regional Office. The T4D intern will provide support to the... 
ICT ENGINEER,https://kenyajob.com//job-vacancies-kenya/ict-engineer-115166,We are looking for an ICT professional with below qualifications;
Remote Sales Staff,https://kenyajob.com//job-vacancies-kenya/remote-sales-staff-113051,We are a Global FX Brokerage Company based in Europe. We are hiring people who are eager to work in the Sales Department remotely. The... 
Regional Resource Mobilization & New Business Development Intern (RRM ,https://kenyajob.com//job-vacancies-kenya/regional-resource-mobilization-new-business-development-intern-rrm-115361,The NBD Intern will part of Save the Children’s East and Southern Africa Regional Office. He/ She will provide resource mobilization... 
Sales Agents,https://kenyajob.com//job-vacancies-kenya/sales-agents-113901,please follow diligently the instructions stipulated for the application so that we can receive your application for shortlisting.DEADLINE... 
"Acquire To Retire, Specialist - (22000490)",https://kenyajob.com//job-vacancies-kenya/acquire-to-retire-specialist-22000490-114928,"Job Description Acquire to Retire, Specialist - (22000490)DESCRIPTION We are pleased to announce the following role, Acquire to... "
Furniture Sales Executive,https://kenyajob.com//job-vacancies-kenya/furniture-sales-executive-113466,"A furniture sales executive is, basically, responsible for selling furniture. They have to keep their sales pitch polished, because they... "
Principal Engineer Cyber Prevent and Defense - (22000489),https://kenyajob.com//job-vacancies-kenya/principal-engineer-cyber-prevent-defense-22000489-114929,Job Description Principal Engineer Cyber Prevent and Defense - (22000489)DESCRIPTION We are please to announce the following... 
Senior Cyber Security Operations Centre (SOC) Analyst  - (22000488),https://kenyajob.com//job-vacancies-kenya/senior-cyber-security-operations-centre-soc-analyst-22000488-114930,DESCRIPTION We are pleased to announce the following vacancy Senior Cyber  Security  Operations Centre (SOC) Analyst within... 
Technical Delivery Manager,https://kenyajob.com//job-vacancies-kenya/technical-delivery-manager-114846,"Job PurposeAs a Technical Delivery Manager, you would be responsible for directing the development team in the design, development, coding... "
Nurse - TB/CCC,https://kenyajob.com//job-vacancies-kenya/nurse-tbccc-115287,"Working under the guidance and supervision of the CCC-TB Clinical Officer in Charge, the nurse will be directly responsible for;Key... "
Nutrition Officer,https://kenyajob.com//job-vacancies-kenya/nutrition-officer-115288,"Working under the mentorship and supervision of the Nutrition Manager, The Nutrition Officer will be responsible for the implementation of... "
